Fecha,Hora,Horario,España,Alemania,Bélgica,Francia,Italia,Países Bajos,Portugal,Reino Unido
2022-01-01,1,Invierno,145.86,50.05,82.02,89.06,170.28,124.7,145.86,138.19
2022-01-01,2,Invierno,114.9,41.33,67.07,78.48,155.72,124.7,114.9,178.75
2022-01-01,3,Invierno,113.87,43.22,75.11,85.16,147.09,134.0,113.87,119.17
2022-01-01,4,Invierno,97.8,45.46,50.91,50.0,91.0,58.8,97.8,29.86
2022-01-01,5,Invierno,97.8,37.67,37.67,37.67,104.0,37.67,97.8,9.36
2022-01-01,6,Invierno,95.74,39.7,39.7,39.7,140.6,39.7,95.74,-11.92
2022-01-01,7,Invierno,97.8,40.59,40.59,40.59,147.09,40.59,97.8,-29.8
2022-01-01,8,Invierno,97.8,43.26,43.26,43.26,99.99,43.26,97.8,-29.77
2022-01-01,9,Invierno,97.8,49.66,49.66,49.66,67.99,49.66,97.8,-59.59
2022-01-01,10,Invierno,70.05,70.05,70.05,70.05,95.0,70.05,70.05,-46.71
2022-01-01,11,Invierno,76.79,76.79,76.79,76.79,135.8,76.79,76.79,0.01
2022-01-01,12,Invierno,84.1,84.1,84.1,84.1,150.7,84.1,84.1,23.84
2022-01-01,13,Invierno,94.74,94.74,94.74,94.74,155.72,94.74,94.74,69.85
2022-01-01,14,Invierno,96.8,96.8,96.8,96.8,147.09,96.8,96.8,107.47
2022-01-01,15,Invierno,97.8,97.17,97.17,97.17,100.0,97.17,97.8,119.18
2022-01-01,16,Invierno,98.52,101.0,95.21,98.52,155.0,101.27,98.52,121.75
2022-01-01,17,Invierno,114.5,126.6,111.66,114.5,169.78,126.6,114.5,123.48
2022-01-01,18,Invierno,149.97,149.97,149.97,149.97,203.1,149.97,149.97,185.24
2022-01-01,19,Invierno,177.22,146.33,146.33,146.33,205.83,146.33,177.22,247.51
2022-01-01,20,Invierno,187.52,140.28,140.28,140.28,214.66,140.28,187.52,186.49
2022-01-01,21,Invierno,189.26,121.88,121.88,121.88,214.66,121.88,189.26,148.88
2022-01-01,22,Invierno,190.81,102.61,102.61,102.61,203.0,102.61,190.81,151.81
2022-01-01,23,Invierno,188.39,97.46,97.46,97.46,180.0,97.46,188.39,119.18
2022-01-01,24,Invierno,167.26,85.16,85.16,85.16,162.44,85.16,167.26,87.14
2022-01-02,1,Invierno,133.21,57.08,57.08,57.08,151.13,57.08,133.21,73.9
2022-01-02,2,Invierno,115.87,52.59,52.59,52.59,142.85,52.59,115.87,55.53
2022-01-02,3,Invierno,110.52,48.97,48.97,48.97,140.6,48.97,110.52,38.73
2022-01-02,4,Invierno,113.0,34.94,34.94,34.94,100.0,34.94,113.0,11.92
2022-01-02,5,Invierno,115.87,29.56,29.56,29.56,140.6,29.56,115.87,7.15
2022-01-02,6,Invierno,110.52,33.97,33.97,33.97,141.93,33.97,110.52,5.97
2022-01-02,7,Invierno,115.87,34.52,34.52,34.52,147.09,34.52,115.87,6.2
2022-01-02,8,Invierno,129.6,41.8,41.8,41.8,153.78,41.8,129.6,5.63
2022-01-02,9,Invierno,115.87,48.95,48.95,48.95,152.59,48.95,115.87,11.82
2022-01-02,10,Invierno,115.87,60.01,60.01,60.01,155.72,60.01,115.87,44.32
2022-01-02,11,Invierno,113.0,70.09,70.09,70.09,167.98,70.09,113.0,78.78
2022-01-02,12,Invierno,103.7,66.26,66.26,66.26,175.08,66.26,115.87,102.5
2022-01-02,13,Invierno,103.7,64.54,64.54,64.54,189.58,64.54,110.0,84.63
