Fecha,Hora,Horario,España,Alemania,Bélgica,Francia,Italia,Países Bajos,Portugal,Reino Unido
2024-10-12,1,Verano,67.29,,,67.29,,,67.29,107.42
2024-10-12,2,Verano,57.57,,,57.57,,,57.57,107.78
2024-10-12,3,Verano,47.96,,,47.96,,,47.96,106.51
2024-10-12,4,Verano,38.91,,,38.91,,,38.91,93.31
2024-10-12,5,Verano,38.91,,,38.91,,,38.91,89.55
2024-10-12,6,Verano,42.63,,,42.63,,,42.63,80.72
2024-10-12,7,Verano,60.21,,,60.21,,,60.21,88.18
2024-10-12,8,Verano,61.0,,,61.0,,,61.0,102.79
2024-10-12,9,Verano,62.97,,,62.97,,,62.97,113.98
2024-10-12,10,Verano,67.08,,,64.48,,,67.08,117.4
2024-10-12,11,Verano,69.31,,,44.89,,,69.31,122.77
2024-10-12,12,Verano,72.5,,,46.71,,,72.5,111.22
2024-10-12,13,Verano,70.0,,,36.06,,,70.0,107.45
2024-10-12,14,Verano,69.31,,,22.37,,,69.31,97.94
2024-10-12,15,Verano,66.83,,,23.34,,,66.83,82.72
2024-10-12,16,Verano,53.0,,,46.35,,,53.0,61.43
2024-10-12,17,Verano,53.0,,,43.35,,,53.0,71.03
2024-10-12,18,Verano,67.08,,,63.12,,,67.08,99.55
2024-10-12,19,Verano,84.65,,,84.65,,,84.65,120.6
2024-10-12,20,Verano,92.08,,,81.94,,,92.08,137.29
2024-10-12,21,Verano,119.93,,,61.06,,,119.93,123.97
2024-10-12,22,Verano,117.1,,,45.42,,,117.1,96.71
2024-10-12,23,Verano,105.62,,,34.87,,,105.62,71.44
2024-10-12,24,Verano,91.61,,,25.37,,,91.61,34.16
