Fecha,Hora,Horario,España,Alemania,Bélgica,Francia,Italia,Países Bajos,Portugal,Reino Unido
2022-01-01,1,Invierno,145.86,50.05,82.02,89.06,170.28,124.7,145.86,138.19
2022-01-01,2,Invierno,114.9,41.33,67.07,78.48,155.72,124.7,114.9,178.75
2022-01-01,3,Invierno,113.87,43.22,75.11,85.16,147.09,134.0,113.87,119.17
2022-01-01,4,Invierno,97.8,45.46,50.91,50.0,91.0,58.8,97.8,29.86
2022-01-01,5,Invierno,97.8,37.67,37.67,37.67,104.0,37.67,97.8,9.36
2022-01-01,6,Invierno,95.74,39.7,39.7,39.7,140.6,39.7,95.74,-11.92
2022-01-01,7,Invierno,97.8,40.59,40.59,40.59,147.09,40.59,97.8,-29.8
2022-01-01,8,Invierno,97.8,43.26,43.26,43.26,99.99,43.26,97.8,-29.77
2022-01-01,9,Invierno,97.8,49.66,49.66,49.66,67.99,49.66,97.8,-59.59
2022-01-01,10,Invierno,70.05,70.05,70.05,70.05,95.0,70.05,70.05,-46.71
2022-01-01,11,Invierno,76.79,76.79,76.79,76.79,135.8,76.79,76.79,0.01
2022-01-01,12,Invierno,84.1,84.1,84.1,84.1,150.7,84.1,84.1,23.84
2022-01-01,13,Invierno,94.74,94.74,94.74,94.74,155.72,94.74,94.74,69.85
2022-01-01,14,Invierno,96.8,96.8,96.8,96.8,147.09,96.8,96.8,107.47
2022-01-01,15,Invierno,97.8,97.17,97.17,97.17,100.0,97.17,97.8,119.18
2022-01-01,16,Invierno,98.52,101.0,95.21,98.52,155.0,101.27,98.52,121.75
2022-01-01,17,Invierno,114.5,126.6,111.66,114.5,169.78,126.6,114.5,123.48
2022-01-01,18,Invierno,149.97,149.97,149.97,149.97,203.1,149.97,149.97,185.24
2022-01-01,19,Invierno,177.22,146.33,146.33,146.33,205.83,146.33,177.22,247.51
2022-01-01,20,Invierno,187.52,140.28,140.28,140.28,214.66,140.28,187.52,186.49
2022-01-01,21,Invierno,189.26,121.88,121.88,121.88,214.66,121.88,189.26,148.88
2022-01-01,22,Invierno,190.81,102.61,102.61,102.61,203.0,102.61,190.81,151.81
2022-01-01,23,Invierno,188.39,97.46,97.46,97.46,180.0,97.46,188.39,119.18
2022-01-01,24,Invierno,167.26,85.16,85.16,85.16,162.44,85.16,167.26,87.14
